Round,Date,Team 1,FT,HT,Team 2,Year,Country,FT Team 1,FT Team 2,HT Team 1,HT Team 2,GGD,Team 1 (pts),Team 2 (pts)
18,(Sun) 14 Dec 2008 (W50),OGC Nice ,0-1,0-1,Lille OSC ,2008,FR,0,1,0,1,1,0,3
19,(Sat) 20 Dec 2008 (W51),Stade Malherbe Caen ,0-1,0-1,Olympique Lyonnais ,2008,FR,0,1,0,1,1,0,3
19,(Sat) 20 Dec 2008 (W51),Grenoble Foot 38 ,2-1,1-0,Le Mans FC ,2008,FR,2,1,1,0,1,3,0
19,(Sat) 20 Dec 2008 (W51),Lille OSC ,3-1,1-0,Le Havre AC ,2008,FR,3,1,1,0,2,3,0
19,(Sat) 20 Dec 2008 (W51),FC Lorient ,1-2,1-0,Stade Rennais FC ,2008,FR,1,2,1,0,1,0,3
19,(Sat) 20 Dec 2008 (W51),FC Nantes ,1-1,0-0,FC Sochaux-Montbéliard ,2008,FR,1,1,0,0,0,1,1
19,(Sat) 20 Dec 2008 (W51),AS Saint-Étienne ,2-0,1-0,AJ Auxerre ,2008,FR,2,0,1,0,2,3,0
19,(Sat) 20 Dec 2008 (W51),Toulouse FC ,2-2,1-1,OGC Nice ,2008,FR,2,2,1,1,0,1,1
19,(Sun) 21 Dec 2008 (W51),Olympique de Marseille ,0-3,0-2,AS Nancy Lorraine ,2008,FR,0,3,0,2,3,0,3
19,(Sun) 21 Dec 2008 (W51),AS Monaco ,3-4,2-0,Girondins de Bordeaux ,2008,FR,3,4,2,0,1,0,3
19,(Sun) 21 Dec 2008 (W51),Paris Saint-Germain ,2-2,1-0,Valenciennes FC ,2008,FR,2,2,1,0,0,1,1
20,(Sat) 10 Jan 2009 (W2),AJ Auxerre ,0-2,0-1,Olympique de Marseille ,2008,FR,0,2,0,1,2,0,3
20,(Sat) 10 Jan 2009 (W2),Le Havre AC ,0-1,0-0,Toulouse FC ,2008,FR,0,1,0,0,1,0,3
20,(Sat) 10 Jan 2009 (W2),Olympique Lyonnais ,1-1,1-1,FC Lorient ,2008,FR,1,1,1,1,0,1,1
20,(Sat) 10 Jan 2009 (W2),AS Monaco ,1-2,0-2,FC Nantes ,2008,FR,1,2,0,2,1,0,3
20,(Sat) 10 Jan 2009 (W2),Stade Rennais FC ,1-0,0-0,Grenoble Foot 38 ,2008,FR,1,0,0,0,1,3,0
20,(Sat) 10 Jan 2009 (W2),FC Sochaux-Montbéliard ,1-0,0-0,AS Saint-Étienne ,2008,FR,1,0,0,0,1,3,0
20,(Sun) 11 Jan 2009 (W2),Girondins de Bordeaux ,4-0,2-0,Paris Saint-Germain ,2008,FR,4,0,2,0,4,3,0
20,(Sat) 17 Jan 2009 (W3),Grenoble Foot 38 ,0-2,0-1,Olympique Lyonnais ,2008,FR,0,2,0,1,2,0,3
20,(Sat) 17 Jan 2009 (W3),FC Lorient ,1-1,1-1,Valenciennes FC ,2008,FR,1,1,1,1,0,1,1
20,(Sat) 17 Jan 2009 (W3),Olympique de Marseille ,2-0,1-0,Le Havre AC ,2008,FR,2,0,1,0,2,3,0
21,(Sat) 17 Jan 2009 (W3),FC Nantes ,1-2,0-1,Girondins de Bordeaux ,2008,FR,1,2,0,1,1,0,3
21,(Sat) 17 Jan 2009 (W3),OGC Nice ,2-0,0-0,AJ Auxerre ,2008,FR,2,0,0,0,2,3,0
21,(Sat) 17 Jan 2009 (W3),AS Saint-Étienne ,1-1,0-0,Le Mans FC ,2008,FR,1,1,0,0,0,1,1
21,(Sat) 17 Jan 2009 (W3),Toulouse FC ,3-0,1-0,AS Nancy Lorraine ,2008,FR,3,0,1,0,3,3,0
21,(Sun) 18 Jan 2009 (W3),Stade Malherbe Caen ,2-2,0-2,AS Monaco ,2008,FR,2,2,0,2,0,1,1
21,(Sun) 18 Jan 2009 (W3),Lille OSC ,1-0,0-0,Stade Rennais FC ,2008,FR,1,0,0,0,1,3,0
21,(Sun) 18 Jan 2009 (W3),Paris Saint-Germain ,2-1,1-0,FC Sochaux-Montbéliard ,2008,FR,2,1,1,0,1,3,0
21,(Sat) 31 Jan 2009 (W5),AJ Auxerre ,0-0,0-0,FC Lorient ,2008,FR,0,0,0,0,0,1,1
21,(Sat) 31 Jan 2009 (W5),Le Havre AC ,2-3,1-2,AS Nancy Lorraine ,2008,FR,2,3,1,2,1,0,3
21,(Sat) 31 Jan 2009 (W5),Le Mans FC ,0-2,0-0,FC Nantes ,2008,FR,0,2,0,0,2,0,3
22,(Sat) 31 Jan 2009 (W5),AS Monaco ,1-0,0-0,Grenoble Foot 38 ,2008,FR,1,0,0,0,1,3,0
22,(Sat) 31 Jan 2009 (W5),Paris Saint-Germain ,2-0,0-0,Stade Malherbe Caen ,2008,FR,2,0,0,0,2,3,0
22,(Sat) 31 Jan 2009 (W5),Stade Rennais FC ,0-0,0-0,Toulouse FC ,2008,FR,0,0,0,0,0,1,1
22,(Sat) 31 Jan 2009 (W5),Valenciennes FC ,1-0,0-0,OGC Nice ,2008,FR,1,0,0,0,1,3,0
22,(Sun) 1 Feb 2009 (W5),Girondins de Bordeaux ,2-2,1-0,Lille OSC ,2008,FR,2,2,1,0,0,1,1
22,(Sun) 1 Feb 2009 (W5),Olympique Lyonnais ,1-1,0-0,AS Saint-Étienne ,2008,FR,1,1,0,0,0,1,1
22,(Sun) 1 Feb 2009 (W5),FC Sochaux-Montbéliard ,1-0,1-0,Olympique de Marseille ,2008,FR,1,0,1,0,1,3,0
22,(Sat) 7 Feb 2009 (W6),Le Havre AC ,1-0,0-0,Stade Rennais FC ,2008,FR,1,0,0,0,1,3,0
22,(Sat) 7 Feb 2009 (W6),Lille OSC ,3-2,0-2,FC Sochaux-Montbéliard ,2008,FR,3,2,0,2,1,3,0
22,(Sat) 7 Feb 2009 (W6),FC Lorient ,1-1,0-1,AS Monaco ,2008,FR,1,1,0,1,0,1,1
23,(Sat) 7 Feb 2009 (W6),AS Nancy Lorraine ,0-2,0-1,AJ Auxerre ,2008,FR,0,2,0,1,2,0,3
23,(Sat) 7 Feb 2009 (W6),FC Nantes ,1-4,1-2,Paris Saint-Germain ,2008,FR,1,4,1,2,3,0,3
23,(Sat) 7 Feb 2009 (W6),AS Saint-Étienne ,3-2,0-1,Stade Malherbe Caen ,2008,FR,3,2,0,1,1,3,0
23,(Sat) 7 Feb 2009 (W6),Toulouse FC ,2-0,1-0,Le Mans FC ,2008,FR,2,0,1,0,2,3,0
23,(Sun) 8 Feb 2009 (W6),Grenoble Foot 38 ,0-0,0-0,Valenciennes FC ,2008,FR,0,0,0,0,0,1,1
23,(Sun) 8 Feb 2009 (W6),Olympique de Marseille ,1-0,0-0,Girondins de Bordeaux ,2008,FR,1,0,0,0,1,3,0
23,(Sun) 8 Feb 2009 (W6),OGC Nice ,1-3,1-2,Olympique Lyonnais ,2008,FR,1,3,1,2,2,0,3
23,(Sat) 14 Feb 2009 (W7),AJ Auxerre ,2-0,2-0,Lille OSC ,2008,FR,2,0,2,0,2,3,0
23,(Sat) 14 Feb 2009 (W7),Girondins de Bordeaux ,1-1,0-0,Grenoble Foot 38 ,2008,FR,1,1,0,0,0,1,1
23,(Sat) 14 Feb 2009 (W7),Stade Malherbe Caen ,1-1,1-0,FC Lorient ,2008,FR,1,1,1,0,0,1,1
24,(Sat) 14 Feb 2009 (W7),Le Mans FC ,1-2,0-0,OGC Nice ,2008,FR,1,2,0,0,1,0,3
24,(Sat) 14 Feb 2009 (W7),Paris Saint-Germain ,2-1,2-1,AS Saint-Étienne ,2008,FR,2,1,2,1,1,3,0
24,(Sat) 14 Feb 2009 (W7),Stade Rennais FC ,1-1,0-0,AS Nancy Lorraine ,2008,FR,1,1,0,0,0,1,1
24,(Sat) 14 Feb 2009 (W7),Valenciennes FC ,1-1,1-0,FC Nantes ,2008,FR,1,1,1,0,0,1,1
24,(Sun) 15 Feb 2009 (W7),Olympique Lyonnais ,3-1,2-0,Le Havre AC ,2008,FR,3,1,2,0,2,3,0
24,(Sun) 15 Feb 2009 (W7),AS Monaco ,0-1,0-0,Olympique de Marseille ,2008,FR,0,1,0,0,1,0,3
24,(Sun) 15 Feb 2009 (W7),FC Sochaux-Montbéliard ,1-2,1-1,Toulouse FC ,2008,FR,1,2,1,1,1,0,3
24,(Tue) 17 Feb 2009 (W8),Le Mans FC ,0-0,0-0,Lille OSC ,2008,FR,0,0,0,0,0,1,1
24,(Tue) 17 Feb 2009 (W8),AS Nancy Lorraine ,1-2,0-0,OGC Nice ,2008,FR,1,2,0,0,1,0,3
24,(Tue) 17 Feb 2009 (W8),Valenciennes FC ,2-0,1-0,Stade Malherbe Caen ,2008,FR,2,0,1,0,2,3,0
25,(Sat) 21 Feb 2009 (W8),Grenoble Foot 38 ,0-0,0-0,Paris Saint-Germain ,2008,FR,0,0,0,0,0,1,1
25,(Sat) 21 Feb 2009 (W8),Le Havre AC ,1-2,1-1,AJ Auxerre ,2008,FR,1,2,1,1,1,0,3
25,(Sat) 21 Feb 2009 (W8),FC Lorient ,1-2,1-0,FC Sochaux-Montbéliard ,2008,FR,1,2,1,0,1,0,3
25,(Sat) 21 Feb 2009 (W8),AS Nancy Lorraine ,0-2,0-1,Olympique Lyonnais ,2008,FR,0,2,0,1,2,0,3
25,(Sat) 21 Feb 2009 (W8),FC Nantes ,1-1,1-1,Stade Malherbe Caen ,2008,FR,1,1,1,1,0,1,1
25,(Sat) 21 Feb 2009 (W8),OGC Nice ,0-1,0-0,Stade Rennais FC ,2008,FR,0,1,0,0,1,0,3
25,(Sat) 21 Feb 2009 (W8),Toulouse FC ,0-0,0-0,Valenciennes FC ,2008,FR,0,0,0,0,0,1,1
25,(Sun) 22 Feb 2009 (W8),Lille OSC ,2-1,1-0,AS Monaco ,2008,FR,2,1,1,0,1,3,0
25,(Sun) 22 Feb 2009 (W8),Olympique de Marseille ,0-0,0-0,Le Mans FC ,2008,FR,0,0,0,0,0,1,1
25,(Sun) 22 Feb 2009 (W8),AS Saint-Étienne ,1-1,0-0,Girondins de Bordeaux ,2008,FR,1,1,0,0,0,1,1
26,(Sat) 28 Feb 2009 (W9),AJ Auxerre ,1-1,1-0,Toulouse FC ,2008,FR,1,1,1,0,0,1,1
26,(Sat) 28 Feb 2009 (W9),Le Mans FC ,2-0,0-0,Le Havre AC ,2008,FR,2,0,0,0,2,3,0
26,(Sat) 28 Feb 2009 (W9),FC Nantes ,1-1,1-0,Grenoble Foot 38 ,2008,FR,1,1,1,0,0,1,1
26,(Sat) 28 Feb 2009 (W9),FC Sochaux-Montbéliard ,1-0,0-0,OGC Nice ,2008,FR,1,0,0,0,1,3,0
26,(Sat) 28 Feb 2009 (W9),Valenciennes FC ,2-0,2-0,Lille OSC ,2008,FR,2,0,2,0,2,3,0
26,(Sun) 1 Mar 2009 (W9),Girondins de Bordeaux ,1-0,0-0,FC Lorient ,2008,FR,1,0,0,0,1,3,0
26,(Sun) 1 Mar 2009 (W9),Stade Malherbe Caen ,0-1,0-0,Olympique de Marseille ,2008,FR,0,1,0,0,1,0,3
26,(Sun) 1 Mar 2009 (W9),Olympique Lyonnais ,1-1,0-0,Stade Rennais FC ,2008,FR,1,1,0,0,0,1,1
26,(Sun) 1 Mar 2009 (W9),AS Monaco ,2-2,1-1,AS Saint-Étienne ,2008,FR,2,2,1,1,0,1,1
26,(Sun) 1 Mar 2009 (W9),Paris Saint-Germain ,4-1,3-1,AS Nancy Lorraine ,2008,FR,4,1,3,1,3,3,0
27,(Sat) 7 Mar 2009 (W10),Grenoble Foot 38 ,2-1,1-0,Stade Malherbe Caen ,2008,FR,2,1,1,0,1,3,0
27,(Sat) 7 Mar 2009 (W10),Lille OSC ,2-0,0-0,Olympique Lyonnais ,2008,FR,2,0,0,0,2,3,0
27,(Sat) 7 Mar 2009 (W10),FC Lorient ,0-1,0-1,Paris Saint-Germain ,2008,FR,0,1,0,1,1,0,3
27,(Sat) 7 Mar 2009 (W10),Olympique de Marseille ,0-0,0-0,Valenciennes FC ,2008,FR,0,0,0,0,0,1,1
27,(Sat) 7 Mar 2009 (W10),AS Nancy Lorraine ,2-2,1-1,Le Mans FC ,2008,FR,2,2,1,1,0,1,1
27,(Sat) 7 Mar 2009 (W10),OGC Nice ,0-0,0-0,AS Monaco ,2008,FR,0,0,0,0,0,1,1
27,(Sat) 7 Mar 2009 (W10),Toulouse FC ,3-0,2-0,Girondins de Bordeaux ,2008,FR,3,0,2,0,3,3,0
27,(Sun) 8 Mar 2009 (W10),Le Havre AC ,2-1,1-1,FC Sochaux-Montbéliard ,2008,FR,2,1,1,1,1,3,0
27,(Sun) 8 Mar 2009 (W10),Stade Rennais FC ,2-0,2-0,AJ Auxerre ,2008,FR,2,0,2,0,2,3,0
27,(Sun) 8 Mar 2009 (W10),AS Saint-Étienne ,2-1,2-1,FC Nantes ,2008,FR,2,1,2,1,1,3,0
28,(Sat) 14 Mar 2009 (W11),Girondins de Bordeaux ,2-1,1-1,OGC Nice ,2008,FR,2,1,1,1,1,3,0
28,(Sat) 14 Mar 2009 (W11),Stade Malherbe Caen ,0-1,0-0,Lille OSC ,2008,FR,0,1,0,0,1,0,3
28,(Sat) 14 Mar 2009 (W11),Le Mans FC ,2-2,2-0,Stade Rennais FC ,2008,FR,2,2,2,0,0,1,1
28,(Sat) 14 Mar 2009 (W11),AS Monaco ,3-2,1-1,Toulouse FC ,2008,FR,3,2,1,1,1,3,0
28,(Sat) 14 Mar 2009 (W11),FC Nantes ,1-1,1-0,FC Lorient ,2008,FR,1,1,1,0,0,1,1
28,(Sat) 14 Mar 2009 (W11),FC Sochaux-Montbéliard ,2-1,1-1,AS Nancy Lorraine ,2008,FR,2,1,1,1,1,3,0
28,(Sat) 14 Mar 2009 (W11),Valenciennes FC ,3-2,1-1,Le Havre AC ,2008,FR,3,2,1,1,1,3,0
28,(Sun) 15 Mar 2009 (W11),Grenoble Foot 38 ,1-0,0-0,AS Saint-Étienne ,2008,FR,1,0,0,0,1,3,0
28,(Sun) 15 Mar 2009 (W11),Olympique Lyonnais ,0-2,0-1,AJ Auxerre ,2008,FR,0,2,0,1,2,0,3
28,(Sun) 15 Mar 2009 (W11),Paris Saint-Germain ,1-3,1-1,Olympique de Marseille ,2008,FR,1,3,1,1,2,0,3
29,(Sat) 21 Mar 2009 (W12),AJ Auxerre ,2-0,2-0,Le Mans FC ,2008,FR,2,0,2,0,2,3,0
29,(Sat) 21 Mar 2009 (W12),Le Havre AC ,0-3,0-1,Girondins de Bordeaux ,2008,FR,0,3,0,1,3,0,3
29,(Sat) 21 Mar 2009 (W12),Lille OSC ,2-1,2-0,Grenoble Foot 38 ,2008,FR,2,1,2,0,1,3,0
29,(Sat) 21 Mar 2009 (W12),Olympique de Marseille ,2-0,0-0,FC Nantes ,2008,FR,2,0,0,0,2,3,0
29,(Sat) 21 Mar 2009 (W12),AS Nancy Lorraine ,0-1,0-0,AS Monaco ,2008,FR,0,1,0,0,1,0,3
29,(Sat) 21 Mar 2009 (W12),OGC Nice ,2-2,1-0,Stade Malherbe Caen ,2008,FR,2,2,1,0,0,1,1
29,(Sat) 21 Mar 2009 (W12),Stade Rennais FC ,0-0,0-0,Valenciennes FC ,2008,FR,0,0,0,0,0,1,1
29,(Sun) 22 Mar 2009 (W12),FC Lorient ,3-1,2-1,AS Saint-Étienne ,2008,FR,3,1,2,1,2,3,0
29,(Sun) 22 Mar 2009 (W12),Olympique Lyonnais ,2-0,1-0,FC Sochaux-Montbéliard ,2008,FR,2,0,1,0,2,3,0
29,(Sun) 22 Mar 2009 (W12),Toulouse FC ,4-1,3-0,Paris Saint-Germain ,2008,FR,4,1,3,0,3,3,0
30,(Sat) 4 Apr 2009 (W14),Girondins de Bordeaux ,1-0,0-0,AS Nancy Lorraine ,2008,FR,1,0,0,0,1,3,0
30,(Sat) 4 Apr 2009 (W14),Stade Malherbe Caen ,0-0,0-0,Toulouse FC ,2008,FR,0,0,0,0,0,1,1
30,(Sat) 4 Apr 2009 (W14),Grenoble Foot 38 ,1-3,0-1,FC Lorient ,2008,FR,1,3,0,1,2,0,3
30,(Sat) 4 Apr 2009 (W14),Le Mans FC ,1-3,0-2,Olympique Lyonnais ,2008,FR,1,3,0,2,2,0,3
30,(Sat) 4 Apr 2009 (W14),AS Monaco ,0-1,0-0,Le Havre AC ,2008,FR,0,1,0,0,1,0,3
30,(Sat) 4 Apr 2009 (W14),FC Nantes ,0-2,0-1,Lille OSC ,2008,FR,0,2,0,1,2,0,3
30,(Sat) 4 Apr 2009 (W14),Valenciennes FC ,2-0,1-0,AJ Auxerre ,2008,FR,2,0,1,0,2,3,0
30,(Sun) 5 Apr 2009 (W14),Paris Saint-Germain ,2-1,1-1,OGC Nice ,2008,FR,2,1,1,1,1,3,0
30,(Sun) 5 Apr 2009 (W14),FC Sochaux-Montbéliard ,3-0,2-0,Stade Rennais FC ,2008,FR,3,0,2,0,3,3,0
30,(Sun) 5 Apr 2009 (W14),AS Saint-Étienne ,0-3,0-0,Olympique de Marseille ,2008,FR,0,3,0,0,3,0,3
31,(Sat) 11 Apr 2009 (W15),AJ Auxerre ,0-2,0-1,Girondins de Bordeaux ,2008,FR,0,2,0,1,2,0,3
31,(Sat) 11 Apr 2009 (W15),Le Havre AC ,1-2,1-1,Stade Malherbe Caen ,2008,FR,1,2,1,1,1,0,3
31,(Sat) 11 Apr 2009 (W15),Le Mans FC ,2-0,1-0,FC Sochaux-Montbéliard ,2008,FR,2,0,1,0,2,3,0
31,(Sat) 11 Apr 2009 (W15),AS Nancy Lorraine ,2-0,0-0,Valenciennes FC ,2008,FR,2,0,0,0,2,3,0
31,(Sat) 11 Apr 2009 (W15),OGC Nice ,2-0,0-0,FC Lorient ,2008,FR,2,0,0,0,2,3,0
31,(Sat) 11 Apr 2009 (W15),Stade Rennais FC ,1-0,0-0,AS Saint-Étienne ,2008,FR,1,0,0,0,1,3,0
31,(Sat) 11 Apr 2009 (W15),Toulouse FC ,1-0,0-0,FC Nantes ,2008,FR,1,0,0,0,1,3,0
31,(Sun) 12 Apr 2009 (W15),Lille OSC ,0-0,0-0,Paris Saint-Germain ,2008,FR,0,0,0,0,0,1,1
31,(Sun) 12 Apr 2009 (W15),Olympique Lyonnais ,2-2,0-1,AS Monaco ,2008,FR,2,2,0,1,0,1,1
31,(Sun) 12 Apr 2009 (W15),Olympique de Marseille ,4-1,0-0,Grenoble Foot 38 ,2008,FR,4,1,0,0,3,3,0
32,(Sat) 18 Apr 2009 (W16),Stade Malherbe Caen ,1-2,1-1,AS Nancy Lorraine ,2008,FR,1,2,1,1,1,0,3
32,(Sat) 18 Apr 2009 (W16),Grenoble Foot 38 ,1-0,1-0,Toulouse FC ,2008,FR,1,0,1,0,1,3,0
32,(Sat) 18 Apr 2009 (W16),AS Monaco ,3-1,0-0,Stade Rennais FC ,2008,FR,3,1,0,0,2,3,0
32,(Sat) 18 Apr 2009 (W16),FC Nantes ,2-0,1-0,OGC Nice ,2008,FR,2,0,1,0,2,3,0
32,(Sat) 18 Apr 2009 (W16),FC Sochaux-Montbéliard ,0-1,0-0,AJ Auxerre ,2008,FR,0,1,0,0,1,0,3
32,(Sat) 18 Apr 2009 (W16),AS Saint-Étienne ,2-1,0-0,Lille OSC ,2008,FR,2,1,0,0,1,3,0
32,(Sat) 18 Apr 2009 (W16),Valenciennes FC ,0-2,0-0,Le Mans FC ,2008,FR,0,2,0,0,2,0,3
32,(Sun) 19 Apr 2009 (W16),Girondins de Bordeaux ,1-0,1-0,Olympique Lyonnais ,2008,FR,1,0,1,0,1,3,0
32,(Sun) 19 Apr 2009 (W16),FC Lorient ,1-2,1-0,Olympique de Marseille ,2008,FR,1,2,1,0,1,0,3
32,(Sun) 19 Apr 2009 (W16),Paris Saint-Germain ,3-0,1-0,Le Havre AC ,2008,FR,3,0,1,0,3,3,0
33,(Fri) 24 Apr 2009 (W17),Olympique Lyonnais ,0-0,0-0,Paris Saint-Germain ,2008,FR,0,0,0,0,0,1,1
33,(Sun) 26 Apr 2009 (W17),AJ Auxerre ,2-1,0-0,Stade Malherbe Caen ,2008,FR,2,1,0,0,1,3,0
33,(Sun) 26 Apr 2009 (W17),Le Havre AC ,0-1,0-1,Grenoble Foot 38 ,2008,FR,0,1,0,1,1,0,3
33,(Sun) 26 Apr 2009 (W17),Le Mans FC ,0-1,0-0,AS Monaco ,2008,FR,0,1,0,0,1,0,3
33,(Sun) 26 Apr 2009 (W17),Lille OSC ,1-2,0-0,Olympique de Marseille ,2008,FR,1,2,0,0,1,0,3
33,(Sun) 26 Apr 2009 (W17),AS Nancy Lorraine ,2-0,0-0,FC Nantes ,2008,FR,2,0,0,0,2,3,0
33,(Sun) 26 Apr 2009 (W17),OGC Nice ,3-1,2-0,AS Saint-Étienne ,2008,FR,3,1,2,0,2,3,0
33,(Sun) 26 Apr 2009 (W17),FC Sochaux-Montbéliard ,1-1,0-0,Valenciennes FC ,2008,FR,1,1,0,0,0,1,1
33,(Sun) 26 Apr 2009 (W17),Toulouse FC ,1-1,0-0,FC Lorient ,2008,FR,1,1,0,0,0,1,1
33,(Wed) 29 Apr 2009 (W18),Stade Rennais FC ,2-3,1-0,Girondins de Bordeaux ,2008,FR,2,3,1,0,1,0,3
34,(Sat) 2 May 2009 (W18),Stade Malherbe Caen ,3-1,1-1,Le Mans FC ,2008,FR,3,1,1,1,2,3,0
34,(Sat) 2 May 2009 (W18),Grenoble Foot 38 ,0-0,0-0,OGC Nice ,2008,FR,0,0,0,0,0,1,1
34,(Sat) 2 May 2009 (W18),FC Lorient ,3-1,0-1,Lille OSC ,2008,FR,3,1,0,1,2,3,0
34,(Sat) 2 May 2009 (W18),Olympique de Marseille ,2-2,0-0,Toulouse FC ,2008,FR,2,2,0,0,0,1,1
34,(Sat) 2 May 2009 (W18),AS Monaco ,0-1,0-1,AJ Auxerre ,2008,FR,0,1,0,1,1,0,3
34,(Sat) 2 May 2009 (W18),AS Saint-Étienne ,0-0,0-0,AS Nancy Lorraine ,2008,FR,0,0,0,0,0,1,1
34,(Sat) 2 May 2009 (W18),Valenciennes FC ,2-0,2-0,Olympique Lyonnais ,2008,FR,2,0,2,0,2,3,0
34,(Sun) 3 May 2009 (W18),Girondins de Bordeaux ,3-0,2-0,FC Sochaux-Montbéliard ,2008,FR,3,0,2,0,3,3,0
34,(Sun) 3 May 2009 (W18),FC Nantes ,1-2,1-1,Le Havre AC ,2008,FR,1,2,1,1,1,0,3
34,(Sun) 3 May 2009 (W18),Paris Saint-Germain ,0-1,0-0,Stade Rennais FC ,2008,FR,0,1,0,0,1,0,3
35,(Tue) 12 May 2009 (W20),Olympique Lyonnais ,3-0,2-0,FC Nantes ,2008,FR,3,0,2,0,3,3,0
35,(Wed) 13 May 2009 (W20),AJ Auxerre ,2-0,1-0,Grenoble Foot 38 ,2008,FR,2,0,1,0,2,3,0
35,(Wed) 13 May 2009 (W20),Le Havre AC ,2-4,2-1,AS Saint-Étienne ,2008,FR,2,4,2,1,2,0,3
35,(Wed) 13 May 2009 (W20),Le Mans FC ,0-1,0-1,Paris Saint-Germain ,2008,FR,0,1,0,1,1,0,3
35,(Wed) 13 May 2009 (W20),AS Nancy Lorraine ,2-2,1-0,FC Lorient ,2008,FR,2,2,1,0,0,1,1
35,(Wed) 13 May 2009 (W20),OGC Nice ,0-2,0-1,Olympique de Marseille ,2008,FR,0,2,0,1,2,0,3
35,(Wed) 13 May 2009 (W20),Stade Rennais FC ,1-0,0-0,Stade Malherbe Caen ,2008,FR,1,0,0,0,1,3,0
35,(Wed) 13 May 2009 (W20),FC Sochaux-Montbéliard ,3-0,1-0,AS Monaco ,2008,FR,3,0,1,0,3,3,0
35,(Wed) 13 May 2009 (W20),Toulouse FC ,0-0,0-0,Lille OSC ,2008,FR,0,0,0,0,0,1,1
35,(Wed) 13 May 2009 (W20),Valenciennes FC ,1-2,1-1,Girondins de Bordeaux ,2008,FR,1,2,1,1,1,0,3
36,(Sat) 16 May 2009 (W20),Girondins de Bordeaux ,3-2,2-1,Le Mans FC ,2008,FR,3,2,2,1,1,3,0
36,(Sat) 16 May 2009 (W20),Stade Malherbe Caen ,2-0,0-0,FC Sochaux-Montbéliard ,2008,FR,2,0,0,0,2,3,0
36,(Sat) 16 May 2009 (W20),Grenoble Foot 38 ,0-0,0-0,AS Nancy Lorraine ,2008,FR,0,0,0,0,0,1,1
36,(Sat) 16 May 2009 (W20),FC Lorient ,1-1,0-1,Le Havre AC ,2008,FR,1,1,0,1,0,1,1
36,(Sat) 16 May 2009 (W20),AS Monaco ,1-1,1-0,Valenciennes FC ,2008,FR,1,1,1,0,0,1,1
36,(Sat) 16 May 2009 (W20),Paris Saint-Germain ,1-2,0-2,AJ Auxerre ,2008,FR,1,2,0,2,1,0,3
36,(Sat) 16 May 2009 (W20),AS Saint-Étienne ,2-2,1-0,Toulouse FC ,2008,FR,2,2,1,0,0,1,1
36,(Sun) 17 May 2009 (W20),Lille OSC ,1-1,0-1,OGC Nice ,2008,FR,1,1,0,1,0,1,1
36,(Sun) 17 May 2009 (W20),Olympique de Marseille ,1-3,0-2,Olympique Lyonnais ,2008,FR,1,3,0,2,2,0,3
36,(Sun) 17 May 2009 (W20),FC Nantes ,1-1,1-0,Stade Rennais FC ,2008,FR,1,1,1,0,0,1,1
37,(Sat) 23 May 2009 (W21),AJ Auxerre ,1-0,0-0,AS Saint-Étienne ,2008,FR,1,0,0,0,1,3,0
37,(Sat) 23 May 2009 (W21),Girondins de Bordeaux ,1-0,1-0,AS Monaco ,2008,FR,1,0,1,0,1,3,0
37,(Sat) 23 May 2009 (W21),Le Havre AC ,0-1,0-0,Lille OSC ,2008,FR,0,1,0,0,1,0,3
37,(Sat) 23 May 2009 (W21),Le Mans FC ,1-1,0-0,Grenoble Foot 38 ,2008,FR,1,1,0,0,0,1,1
37,(Sat) 23 May 2009 (W21),Olympique Lyonnais ,3-1,1-0,Stade Malherbe Caen ,2008,FR,3,1,1,0,2,3,0
37,(Sat) 23 May 2009 (W21),AS Nancy Lorraine ,1-2,0-1,Olympique de Marseille ,2008,FR,1,2,0,1,1,0,3
37,(Sat) 23 May 2009 (W21),OGC Nice ,0-2,0-2,Toulouse FC ,2008,FR,0,2,0,2,2,0,3
37,(Sat) 23 May 2009 (W21),Stade Rennais FC ,3-1,2-0,FC Lorient ,2008,FR,3,1,2,0,2,3,0
37,(Sat) 23 May 2009 (W21),FC Sochaux-Montbéliard ,2-1,2-0,FC Nantes ,2008,FR,2,1,2,0,1,3,0
37,(Sat) 23 May 2009 (W21),Valenciennes FC ,2-1,0-1,Paris Saint-Germain ,2008,FR,2,1,0,1,1,3,0
38,(Sat) 30 May 2009 (W22),Stade Malherbe Caen ,0-1,0-0,Girondins de Bordeaux ,2008,FR,0,1,0,0,1,0,3
38,(Sat) 30 May 2009 (W22),Grenoble Foot 38 ,0-1,0-1,FC Sochaux-Montbéliard ,2008,FR,0,1,0,1,1,0,3
38,(Sat) 30 May 2009 (W22),Lille OSC ,3-2,2-1,AS Nancy Lorraine ,2008,FR,3,2,2,1,1,3,0
38,(Sat) 30 May 2009 (W22),FC Lorient ,1-1,1-1,Le Mans FC ,2008,FR,1,1,1,1,0,1,1
38,(Sat) 30 May 2009 (W22),Olympique de Marseille ,4-0,0-0,Stade Rennais FC ,2008,FR,4,0,0,0,4,3,0
38,(Sat) 30 May 2009 (W22),FC Nantes ,2-1,1-0,AJ Auxerre ,2008,FR,2,1,1,0,1,3,0
38,(Sat) 30 May 2009 (W22),OGC Nice ,0-0,0-0,Le Havre AC ,2008,FR,0,0,0,0,0,1,1
38,(Sat) 30 May 2009 (W22),Paris Saint-Germain ,0-0,0-0,AS Monaco ,2008,FR,0,0,0,0,0,1,1
